Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-03-10 23:00:00, $1,381.24, SELL, $101,480.31, $0.00, $0.00, $1,480.31
2020-03-11 23:00:00, $1,330.08, HOLD, $101,480.31, $0.00, $0.00, $1,480.31
2020-03-12 23:00:00, $1,360.25, BUY, $100,120.06, $1,360.25, $0.00, $1,480.31
2020-03-15 23:00:00, $1,299.09, SELL, $101,419.15, $0.00, $-61.16, $1,419.15
2020-03-16 23:00:00, $1,266.96, HOLD, $101,419.15, $0.00, $0.00, $1,419.15
2020-03-17 23:00:00, $1,201.68, SELL, $101,419.15, $0.00, $0.00, $1,419.15
2020-03-18 23:00:00, $1,173.18, HOLD, $101,419.15, $0.00, $0.00, $1,419.15
2020-03-19 23:00:00, $1,196.24, BUY, $100,222.91, $1,196.24, $0.00, $1,419.15
2020-03-22 23:00:00, $1,259.35, HOLD, $100,222.91, $1,196.24, $0.00, $1,419.15
2020-03-23 23:00:00, $1,343.91, BUY, $98,879.00, $2,540.15, $0.00, $1,419.15
2020-03-24 23:00:00, $1,341.18, SELL, $101,561.35, $0.00, $-2.73, $1,561.35
2020-03-25 23:00:00, $1,321.89, HOLD, $101,561.35, $0.00, $0.00, $1,561.35
2020-03-26 23:00:00, $1,301.64, SELL, $101,561.35, $0.00, $0.00, $1,561.35
2020-03-29 23:00:00, $1,307.91, BUY, $100,253.45, $1,307.91, $0.00, $1,561.35
2020-03-30 23:00:00, $1,291.87, SELL, $101,545.31, $0.00, $-16.04, $1,545.31
2020-03-31 23:00:00, $1,254.08, HOLD, $101,545.31, $0.00, $0.00, $1,545.31
2020-04-01 23:00:00, $1,281.81, BUY, $100,263.50, $1,281.81, $0.00, $1,545.31
2020-04-02 23:00:00, $1,320.90, HOLD, $100,263.50, $1,281.81, $0.00, $1,545.31
2020-04-05 23:00:00, $1,367.65, BUY, $98,895.85, $2,649.46, $0.00, $1,545.31
2020-04-06 23:00:00, $1,389.33, HOLD, $98,895.85, $2,649.46, $0.00, $1,545.31
2020-04-07 23:00:00, $1,403.69, BUY, $97,492.15, $4,053.16, $0.00, $1,545.31
2020-04-08 23:00:00, $1,429.44, HOLD, $97,492.15, $4,053.16, $0.00, $1,545.31
2020-04-12 23:00:00, $1,430.49, BUY, $96,061.66, $5,483.65, $0.00, $1,545.31
2020-04-13 23:00:00, $1,426.83, SELL, $101,768.99, $0.00, $-3.66, $1,768.99
2020-04-14 23:00:00, $1,434.03, BUY, $100,334.97, $1,434.03, $0.00, $1,768.99
2020-04-15 23:00:00, $1,429.48, SELL, $101,764.45, $0.00, $-4.54, $1,764.45
2020-04-16 23:00:00, $1,407.17, HOLD, $101,764.45, $0.00, $0.00, $1,764.45
2020-04-19 23:00:00, $1,368.33, SELL, $101,764.45, $0.00, $0.00, $1,764.45
2020-04-20 23:00:00, $1,351.57, HOLD, $101,764.45, $0.00, $0.00, $1,764.45
2020-04-21 23:00:00, $1,359.84, BUY, $100,404.61, $1,359.84, $0.00, $1,764.45
2020-04-22 23:00:00, $1,376.05, HOLD, $100,404.61, $1,359.84, $0.00, $1,764.45
2020-04-23 23:00:00, $1,402.53, BUY, $99,002.09, $2,762.36, $0.00, $1,764.45
2020-04-26 23:00:00, $1,454.97, HOLD, $99,002.09, $2,762.36, $0.00, $1,764.45
2020-04-27 23:00:00, $1,481.18, BUY, $97,520.91, $4,243.54, $0.00, $1,764.45
2020-04-28 23:00:00, $1,484.73, HOLD, $97,520.91, $4,243.54, $0.00, $1,764.45
2020-04-29 23:00:00, $1,447.33, SELL, $101,862.89, $0.00, $-33.85, $1,862.89
2020-04-30 23:00:00, $1,417.81, HOLD, $101,862.89, $0.00, $0.00, $1,862.89
2020-05-03 23:00:00, $1,394.12, SELL, $101,862.89, $0.00, $0.00, $1,862.89
2020-05-04 23:00:00, $1,405.01, BUY, $100,457.87, $1,405.01, $0.00, $1,862.89
2020-05-05 23:00:00, $1,418.16, HOLD, $100,457.87, $1,405.01, $0.00, $1,862.89
2020-05-06 23:00:00, $1,427.26, BUY, $99,030.62, $2,832.27, $0.00, $1,862.89
2020-05-07 23:00:00, $1,408.21, SELL, $101,847.05, $0.00, $-19.04, $1,847.05
2020-05-10 23:00:00, $1,387.10, HOLD, $101,847.05, $0.00, $0.00, $1,847.05
2020-05-11 23:00:00, $1,379.83, SELL, $101,847.05, $0.00, $0.00, $1,847.05
2020-05-12 23:00:00, $1,378.86, HOLD, $101,847.05, $0.00, $0.00, $1,847.05
2020-05-13 23:00:00, $1,441.38, BUY, $100,405.67, $1,441.38, $0.00, $1,847.05
2020-05-14 23:00:00, $1,496.15, HOLD, $100,405.67, $1,441.38, $0.00, $1,847.05
2020-05-17 23:00:00, $1,568.57, BUY, $98,837.10, $3,009.95, $0.00, $1,847.05
2020-05-18 23:00:00, $1,581.91, HOLD, $98,837.10, $3,009.95, $0.00, $1,847.05
2020-05-19 23:00:00, $1,609.44, BUY, $97,227.66, $4,619.39, $0.00, $1,847.05
2020-05-20 23:00:00, $1,658.31, HOLD, $97,227.66, $4,619.39, $0.00, $1,847.05
2020-05-21 23:00:00, $1,692.46, BUY, $95,535.20, $6,311.84, $0.00, $1,847.05
2020-05-25 23:00:00, $1,698.89, HOLD, $95,535.20, $6,311.84, $0.00, $1,847.05
2020-05-26 23:00:00, $1,663.06, SELL, $102,187.44, $0.00, $-29.40, $2,187.44
2020-05-27 23:00:00, $1,653.61, HOLD, $102,187.44, $0.00, $0.00, $2,187.44
2020-05-28 23:00:00, $1,655.08, BUY, $100,532.36, $1,655.08, $0.00, $2,187.44
2020-05-31 23:00:00, $1,683.61, HOLD, $100,532.36, $1,655.08, $0.00, $2,187.44
2020-06-01 23:00:00, $1,707.89, BUY, $98,824.47, $3,362.98, $0.00, $2,187.44
2020-06-02 23:00:00, $1,760.91, HOLD, $98,824.47, $3,362.98, $0.00, $2,187.44
2020-06-03 23:00:00, $1,799.55, BUY, $97,024.92, $5,162.52, $0.00, $2,187.44
2020-06-04 23:00:00, $1,811.59, HOLD, $97,024.92, $5,162.52, $0.00, $2,187.44
2020-06-07 23:00:00, $1,784.18, SELL, $102,377.46, $0.00, $-15.37, $2,377.46
2020-06-08 23:00:00, $1,699.76, HOLD, $102,377.46, $0.00, $0.00, $2,377.46
2020-06-09 23:00:00, $1,645.23, SELL, $102,377.46, $0.00, $0.00, $2,377.46
2020-06-10 23:00:00, $1,618.33, HOLD, $102,377.46, $0.00, $0.00, $2,377.46
2020-06-11 23:00:00, $1,647.55, BUY, $100,729.90, $1,647.55, $0.00, $2,377.46
2020-06-14 23:00:00, $1,655.00, HOLD, $100,729.90, $1,647.55, $0.00, $2,377.46
2020-06-15 23:00:00, $1,647.33, SELL, $102,377.23, $0.00, $-0.23, $2,377.23
2020-06-16 23:00:00, $1,631.07, HOLD, $102,377.23, $0.00, $0.00, $2,377.23
2020-06-17 23:00:00, $1,630.32, SELL, $102,377.23, $0.00, $0.00, $2,377.23
2020-06-18 23:00:00, $1,646.55, BUY, $100,730.68, $1,646.55, $0.00, $2,377.23
2020-06-21 23:00:00, $1,641.60, SELL, $102,372.27, $0.00, $-4.96, $2,372.27
2020-06-22 23:00:00, $1,634.87, HOLD, $102,372.27, $0.00, $0.00, $2,372.27
2020-06-23 23:00:00, $1,588.88, SELL, $102,372.27, $0.00, $0.00, $2,372.27
2020-06-24 23:00:00, $1,582.43, HOLD, $102,372.27, $0.00, $0.00, $2,372.27
2020-06-25 23:00:00, $1,574.75, SELL, $102,372.27, $0.00, $0.00, $2,372.27
2020-06-28 23:00:00, $1,614.93, BUY, $100,757.34, $1,614.93, $0.00, $2,372.27
2020-06-29 23:00:00, $1,640.80, HOLD, $100,757.34, $1,614.93, $0.00, $2,372.27
2020-06-30 23:00:00, $1,678.36, BUY, $99,078.99, $3,293.29, $0.00, $2,372.27
2020-07-01 23:00:00, $1,677.36, SELL, $102,433.71, $0.00, $-1.00, $2,433.71
2020-07-05 23:00:00, $1,675.26, HOLD, $102,433.71, $0.00, $0.00, $2,433.71
2020-07-06 23:00:00, $1,663.41, SELL, $102,433.71, $0.00, $0.00, $2,433.71
2020-07-07 23:00:00, $1,680.80, BUY, $100,752.91, $1,680.80, $0.00, $2,433.71
2020-07-08 23:00:00, $1,688.54, HOLD, $100,752.91, $1,680.80, $0.00, $2,433.71
2020-07-09 23:00:00, $1,697.59, BUY, $99,055.32, $3,378.39, $0.00, $2,433.71
2020-07-12 23:00:00, $1,727.29, HOLD, $99,055.32, $3,378.39, $0.00, $2,433.71
