Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 11:16:00, $2,412.97, SELL, $100,148.01, $0.00, $-0.27, $148.01
2021-05-25 11:31:00, $2,411.71, HOLD, $100,148.01, $0.00, $0.00, $148.01
2021-05-25 11:34:00, $2,410.87, SELL, $100,148.01, $0.00, $0.00, $148.01
2021-05-25 11:45:00, $2,408.98, HOLD, $100,148.01, $0.00, $0.00, $148.01
2021-05-25 11:46:00, $2,409.07, BUY, $97,738.94, $2,409.07, $0.00, $148.01
2021-05-25 11:49:00, $2,407.74, SELL, $100,146.68, $0.00, $-1.34, $146.68
2021-05-25 11:54:00, $2,407.21, HOLD, $100,146.68, $0.00, $0.00, $146.68
2021-05-25 12:01:00, $2,407.76, BUY, $97,738.92, $2,407.76, $0.00, $146.68
2021-05-25 12:07:00, $2,409.34, HOLD, $97,738.92, $2,407.76, $0.00, $146.68
2021-05-25 12:17:00, $2,411.04, BUY, $95,327.88, $4,818.80, $0.00, $146.68
