Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-21 09:26:00, $1,363.85, HOLD, $100,078.42, $0.00, $0.00, $78.42
2021-05-21 09:39:00, $1,363.44, SELL, $100,078.42, $0.00, $0.00, $78.42
2021-05-21 09:55:00, $1,364.17, BUY, $98,714.25, $1,364.17, $0.00, $78.42
2021-05-21 10:00:00, $1,365.04, HOLD, $98,714.25, $1,364.17, $0.00, $78.42
2021-05-21 10:02:00, $1,365.29, BUY, $97,348.96, $2,729.46, $0.00, $78.42
2021-05-21 10:07:00, $1,366.90, HOLD, $97,348.96, $2,729.46, $0.00, $78.42
2021-05-21 10:11:00, $1,368.14, BUY, $95,980.82, $4,097.60, $0.00, $78.42
2021-05-21 10:14:00, $1,369.48, HOLD, $95,980.82, $4,097.60, $0.00, $78.42
2021-05-21 10:15:00, $1,369.26, SELL, $100,088.60, $0.00, $1.12, $88.60
2021-05-21 10:18:00, $1,369.56, BUY, $98,719.03, $1,369.56, $0.00, $88.60
2021-05-21 10:19:00, $1,370.08, HOLD, $98,719.03, $1,369.56, $0.00, $88.60
2021-05-21 10:20:00, $1,370.41, BUY, $97,348.63, $2,739.97, $0.00, $88.60
2021-05-21 10:23:00, $1,370.36, SELL, $100,089.35, $0.00, $-0.04, $89.35
2021-05-21 10:25:00, $1,369.48, HOLD, $100,089.35, $0.00, $0.00, $89.35
2021-05-21 10:26:00, $1,367.44, SELL, $100,089.35, $0.00, $0.00, $89.35
2021-05-21 10:27:00, $1,365.41, HOLD, $100,089.35, $0.00, $0.00, $89.35
2021-05-21 10:28:00, $1,364.39, SELL, $100,089.35, $0.00, $0.00, $89.35
2021-05-21 10:29:00, $1,365.01, BUY, $98,724.35, $1,365.01, $0.00, $89.35
2021-05-21 10:32:00, $1,364.16, SELL, $100,088.51, $0.00, $-0.84, $88.51
2021-05-21 10:33:00, $1,363.16, HOLD, $100,088.51, $0.00, $0.00, $88.51
